Date,Open,High,Low,Close,Adj Close,Volume
1989-01-31,228.052002,228.052002,228.052002,228.052002,86.821114,0
1989-02-01,219.328003,219.328003,219.328003,219.328003,83.499825,0
1989-02-02,219.951004,219.951004,219.951004,219.951004,83.737000,0
1989-02-03,220.574005,220.574005,220.574005,220.574005,83.974167,0
1989-02-06,216.835999,216.835999,216.835999,216.835999,82.551102,0
1989-02-07,221.820999,221.820999,221.820999,221.820999,84.448921,0
1989-02-08,221.820999,221.820999,221.820999,221.820999,84.448921,0
1989-02-09,220.574005,220.574005,220.574005,220.574005,83.974167,0
1989-02-10,214.343002,214.343002,214.343002,214.343002,81.601990,0
1989-02-13,208.112000,208.112000,208.112000,208.112000,79.229820,0
1989-02-14,209.358994,209.358994,209.358994,209.358994,79.704536,0
1989-02-15,207.488998,207.488998,207.488998,207.488998,78.992645,0
1989-02-16,205.621002,205.621002,205.621002,205.621002,78.281433,0
1989-02-17,206.865997,206.865997,206.865997,206.865997,78.755455,0
1989-02-20,206.865997,206.865997,206.865997,206.865997,78.755455,0
1989-02-21,208.735992,208.735992,208.735992,208.735992,79.467369,0
1989-02-22,203.751007,203.751007,203.751007,203.751007,77.569542,0
1989-02-23,203.128006,203.128006,203.128006,203.128006,77.332359,0
1989-02-24,200.013000,200.013000,200.013000,200.013000,76.146454,0
1989-02-27,199.389999,199.389999,199.389999,199.389999,75.909271,0
1989-02-28,201.880997,201.880997,201.880997,201.880997,76.857613,0
1989-03-01,203.128006,203.128006,203.128006,203.128006,77.332359,0
1989-03-02,205.621002,205.621002,205.621002,205.621002,78.281433,0
1989-03-03,206.865997,206.865997,206.865997,206.865997,78.755455,0
1989-03-06,207.488998,207.488998,207.488998,207.488998,78.992645,0
1989-03-07,209.358994,209.358994,209.358994,209.358994,79.704536,0
1989-03-08,208.112000,208.112000,208.112000,208.112000,79.229820,0
1989-03-09,208.112000,208.112000,208.112000,208.112000,79.229820,0
1989-03-10,212.475006,212.475006,212.475006,212.475006,80.890846,0
1989-03-13,213.097000,213.097000,213.097000,213.097000,81.127647,0
1989-03-14,219.328003,219.328003,219.328003,219.328003,83.499825,0
1989-03-15,218.082993,218.082993,218.082993,218.082993,83.025841,0
1989-03-16,214.343002,214.343002,214.343002,214.343002,81.601990,0
1989-03-17,210.604996,210.604996,210.604996,210.604996,80.178932,0
1989-03-20,211.227997,211.227997,211.227997,211.227997,80.416115,0
1989-03-21,213.720001,213.720001,213.720001,213.720001,81.364815,0
1989-03-22,206.865997,206.865997,206.865997,206.865997,78.755455,0
1989-03-23,206.865997,206.865997,206.865997,206.865997,78.755455,0
1989-03-24,206.865997,206.865997,206.865997,206.865997,78.755455,0
1989-03-27,206.865997,206.865997,206.865997,206.865997,78.755455,0
1989-03-28,207.488998,207.488998,207.488998,207.488998,78.992645,0
1989-03-29,204.996994,204.996994,204.996994,204.996994,78.043892,0
1989-03-30,203.128006,203.128006,203.128006,203.128006,77.332359,0
1989-03-31,201.880997,201.880997,201.880997,201.880997,76.857613,0
1989-04-03,200.634995,200.634995,200.634995,200.634995,76.383247,0
1989-04-04,200.634995,200.634995,200.634995,200.634995,76.383247,0
1989-04-05,201.880997,201.880997,201.880997,201.880997,76.857613,0
1989-04-06,199.389999,199.389999,199.389999,199.389999,75.909271,0
1989-04-07,199.389999,199.389999,199.389999,199.389999,75.909271,0
1989-04-10,198.143005,198.143005,198.143005,198.143005,75.434547,0
1989-04-11,198.766006,198.766006,198.766006,198.766006,75.671761,0
1989-04-12,196.897003,196.897003,196.897003,196.897003,74.960175,0
1989-04-13,196.897003,196.897003,196.897003,196.897003,74.960175,0
1989-04-14,198.143005,198.143005,198.143005,198.143005,75.434547,0
1989-04-17,200.634995,200.634995,200.634995,200.634995,76.383247,0
1989-04-18,203.751007,203.751007,203.751007,203.751007,77.569542,0
1989-04-19,206.865997,206.865997,206.865997,206.865997,78.755455,0
1989-04-20,204.996994,204.996994,204.996994,204.996994,78.043892,0
1989-04-21,203.128006,203.128006,203.128006,203.128006,77.332359,0
1989-04-24,201.257996,201.257996,201.257996,201.257996,76.620399,0
1989-04-25,203.751007,203.751007,203.751007,203.751007,77.569542,0
1989-04-26,209.358994,209.358994,209.358994,209.358994,79.704536,0
1989-04-27,213.097000,213.097000,213.097000,213.097000,81.127647,0
1989-04-28,213.097000,213.097000,213.097000,213.097000,81.127647,0
1989-05-01,213.097000,213.097000,213.097000,213.097000,81.127647,0
1989-05-02,210.604996,210.604996,210.604996,210.604996,80.178932,0
1989-05-03,213.097000,213.097000,213.097000,213.097000,81.127647,0
1989-05-04,218.082993,218.082993,218.082993,218.082993,83.025841,0
1989-05-05,218.082993,218.082993,218.082993,218.082993,83.025841,0
1989-05-08,211.227997,211.227997,211.227997,211.227997,80.416115,0
1989-05-09,218.705002,218.705002,218.705002,218.705002,83.262650,0
1989-05-10,220.574005,220.574005,220.574005,220.574005,83.974167,0
1989-05-11,224.313004,224.313004,224.313004,224.313004,85.397659,0
1989-05-12,234.906006,234.906006,234.906006,234.906006,89.430496,0
1989-05-15,234.283005,234.283005,234.283005,234.283005,89.193283,0
1989-05-16,231.789993,231.789993,231.789993,231.789993,88.244202,0
1989-05-17,234.283005,234.283005,234.283005,234.283005,89.193283,0
1989-05-18,239.266998,239.266998,239.266998,239.266998,91.090752,0
1989-05-19,246.744995,246.744995,246.744995,246.744995,93.937683,0
1989-05-22,238.020996,238.020996,238.020996,238.020996,90.616394,0
1989-05-23,230.544006,230.544006,230.544006,230.544006,87.769836,0
1989-05-24,228.675003,228.675003,228.675003,228.675003,87.058289,0
1989-05-25,228.675003,228.675003,228.675003,228.675003,87.058289,0
1989-05-26,231.789993,231.789993,231.789993,231.789993,88.244202,0
1989-05-29,231.789993,231.789993,231.789993,231.789993,88.244202,0
1989-05-30,234.906006,234.906006,234.906006,234.906006,89.430496,0
1989-05-31,227.429001,227.429001,227.429001,227.429001,86.583939,0
1989-06-01,223.067001,223.067001,223.067001,223.067001,84.923286,0
1989-06-02,223.067001,223.067001,223.067001,223.067001,84.923286,0
1989-06-05,225.559006,225.559006,225.559006,225.559006,85.872032,0
1989-06-06,229.298004,229.298004,229.298004,229.298004,87.295479,0
1989-06-07,230.544006,230.544006,230.544006,230.544006,87.769836,0
1989-06-08,233.035995,233.035995,233.035995,233.035995,88.718544,0
1989-06-09,232.412994,232.412994,232.412994,232.412994,88.481400,0
